property_type,stars,score,area,ghg_total,ghg_intensity,electricity,natural_gas,eui_site,eui_source,eui_site_wn,eui_source_wn
Multifamily Housing,3,67,1217060,584.6,6.2,2472731,3740693.2,65.8,114.8,67.3,116.3
Multifamily Housing,2,46,135000,965.7,8,5147482.5,3056966.8,68.3,146.7,72.2,155.7
K-12 School,2,30,147016,1129.6,7.7,4743412.3,7329630.4,82.1,142.7,88.5,149.4
K-12 School,4,65,64440,338.4,5.3,1242003.7,2721930.2,61.5,98.3,65.7,102.7
Multifamily Housing,4,100,190476,544.9,3.8,2317164.3,3450673.7,40.3,70.6,41.8,72.2
K-12 School,2.5,37,118800,832.9,7,2936876.5,7051350,84.1,131.5,92,139.9
Multifamily Housing,2.5,36,413860,2623.5,7.9,7640222,26942598.3,103.8,149.2,108.5,154.1
K-12 School,3.5,53,163308,976.7,6,4121541.1,6277370.4,63.7,111,66.7,114.2
Multifamily Housing,3,65,48700,592.1,12.2,1723223.8,6083606.1,160.3,230.2,168.8,239.2
K-12 School,2.5,33,74828,540.9,7.2,1729414.2,5101539.8,91.3,136.3,97,143.4
Multifamily Housing,3,44,149600,1118.3,7.5,2461297.4,13822846.8,108.9,143.1,115,149
Multifamily Housing,3.5,71,80000,447.7,5.6,778195.9,6142080.5,86.5,107.9,91.8,113.1
Multifamily Housing,4,80,99696,800.8,8,1921672.5,9430782,113.9,153.3,120.9,160.6
K-12 School,2,18,354518,3679.4,10.4,23008936.8,1664640,69.6,186.7,71.8,192.7
K-12 School,4,79,341000,1637.2,4.8,4205664.3,18466879.4,66.5,91.4,71.6,96.7
Multifamily Housing,2.5,55,259349,2393.8,9.2,7114992.6,24162555.1,120.6,174.6,127.4,181.9
Multifamily Housing,4,65,302000,1799.5,6.2,5142477.5,18769029.3,82.7,118,87.3,122.4
Office,4,96,81887,249,3,1381791.8,627500,24.5,55.3,25.2,55.4
Multifamily Housing,1,28,841880,5617.9,7.2,15136788.3,61291727.6,98.1,136.9,103.6,142.8
Multifamily Housing,2.5,51,77607,396.5,5.1,921992.2,4756125.1,73.2,97.6,77.2,101.9
Supermarket/Grocery Store,4,100,51298,271.4,5.3,571099,3431968,78,101.4,82.7,106.3
Residence Hall/Dormitory,4,83,237121,1456.6,6.1,3211777,192393,74.5,111,78.9,116.2
K-12 School,3.5,56,108624,634.3,5.8,2952168.9,3267080.1,57.3,107.7,59.3,109.8
Multifamily Housing,3.5,75,67064,433.9,6.8,1220346.1,4583757.5,90.3,128.1,96.6,134.2
Residence Hall/Dormitory,4,100,69559,198,2.8,1253780.3,44470,18.7,51.1,18.7,51.1
Multifamily Housing,4,84,113616,487.2,5.3,1721531.5,4113218.3,63,98.7,66,101.8
K-12 School,2.5,37,104200,748.4,7.2,3973488.5,2414640.1,61.3,131.1,63.7,134.2
Multifamily Housing,4,98,228057,835.3,3.7,642665,13837867.2,64.8,73,68.9,77.2
Multifamily Housing,4,64,110616,589.1,5.3,3164625.8,1791770,44.8,97.1,45.2,96.1
Multifamily Housing,2,46,50736,315.2,6.2,708245.9,3853963.8,89.9,118.8,95.5,124.7
Office,4,78,580000,4065.3,7,13408193.1,28858203.3,87.3,130.1,90.2,133.2
Multifamily Housing,4,100,335000,2201,7.2,8769266.5,15670769.4,79.7,133.8,83,136.8
K-12 School,2.5,35,73288,524.7,7.2,2087219.7,3744980.1,79.6,133.4,83.8,137.8
Multifamily Housing,2,41,245715,1354.8,8.2,5801891,8458979.8,86.8,153,90,156.4
Supermarket/Grocery Store,1,19,94000,1905.2,35.3,9625002.8,7587758,318.8,646.6,330.3,661.7
Multifamily Housing,4,95,79250,580.4,7.3,2432800.4,3779476.1,78.4,136,81.2,141.2
K-12 School,3,41,71361,499.8,7,2166784.1,3042700.1,73,129.8,77.2,135.6
Multifamily Housing,2,49,52193,338.7,6.5,797281.7,4034250.1,92.6,123.9,96.2,127.3
Multifamily Housing,1,3,201415,2074.7,10.3,11675983,4752066.9,81.6,187.1,83.9,191.3
K-12 School,4,65,88230,449.1,5.1,923085.2,5742310.4,75.5,97.6,80.4,102.7
Multifamily Housing,4,93,243432,983.5,4.9,4767307.9,4509465.7,45.9,89.4,46.9,90.4
Multifamily Housing,1,5,72150,697.2,9.7,3203400.4,3714530.4,95.9,178.4,100.2,185.8
Multifamily Housing,2,46,1705000,10182,6.9,58039418.1,21158460.8,53.5,124.8,56.8,133.2
Multifamily Housing,4,86,262612,1432.1,5.5,4098996.6,14917360,72.4,103.3,76.3,107.2
Multifamily Housing,2,41,154113,1242.7,8.1,2790319.4,15197446,116.7,154.2,123.9,161.5
Multifamily Housing,1.5,35,50291,359.5,7.1,733259.3,4613476.4,106.3,137.1,111,142.1
Multifamily Housing,2,47,51163,305.7,6,537004.4,4176649.7,92.1,115.1,98.2,121.4
Multifamily Housing,4,80,122332,537.8,5.2,1152266.5,6738768.3,76.9,100.4,80.6,104.3
Multifamily Housing,3,67,260297,1374.5,5.9,2633310,18140642.2,88.4,112.5,93.7,117.3
Hospital (General Medical & Surgical),4,73,1287909,26970.9,20.9,114113847.1,169769568,221.9,388,225.2,389.4
Multifamily Housing,4,96,130365,486.5,3.7,1389315.2,5077371.8,49.6,70.7,53.1,74.5
